fips,sld_dt,republican_percentage,is_brand,dspns_qty_sum,dspns_qty_mean,dspns_qty_count,rx_prc_amt_sum,rx_prc_amt_mean,rx_prc_amt_median,transaction_count,loc_id_nunique,drug_ANDROGENS_ANABOLIC_sum,drug_ESTROGENS_sum,drug_PROGESTINS_sum,drug_CONTRACEPTIVES_sum,insurance_coverage_mean,patient_coverage_mean,year,healthrisk_impact,republican_percentage_std,republicanStd_x_healthrisk,brand_healthrisk,republicanStd_x_brand,republicanStd_x_brand_x_healthrisk,avg_prc,county_name,state_name,state_abbr,total_county_population,edu_less_than_hs,edu_hs_graduate,edu_some_college,edu_bachelors,edu_graduate,edu_bachelor_above,male_percentage,female_percentage,over_65_percentage,income_low_percentage,income_lower_middle_percentage,income_middle_percentage,income_upper_middle_percentage,income_high_percentage,household_median,race_white,race_black,race_native,race_asian,race_pacific,race_other,race_two_or_more,unemployment_rate,employment_rate,urban_rural_value_lessBetter,metro_indicator,cases,deaths,week,month,weekday,pharmacy_density
1166,2019-05-04,69.41833867688243,1,1059.807071194354,40.761810430552075,26,337.889075271774,12.995733664299001,10.501359701557273,26,13,5,2,3,2,0.4607696052395662,0.5170194868494292,2019,0,1.0003314753793022,0.0,0,1.0003314753793022,0.0,5.926087797316029,County_116,Alabama,AL,81022,21.95869776811224,29.643008782327854,23.28814817324728,18.13334738078114,14.463571452231726,31.93076327389063,47.36788590335998,54.9093153240418,9.007043318304234,18.974282398251972,20.83469603447645,37.7873905991712,5.827995929662157,17.61818579462384,63990,81.89037883251909,18.55521670478069,1.7464798727077617,1.1293708688158037,0.26679055523016404,2.807051635228964,7.863343474648255,6.589892510147407,27.296929303763356,6,1,0,0,16,5,6,0.26407901637689074
45040,2020-06-21,83.02784982426772,1,1340.6618574218805,43.24715669102841,31,1720.4631988928681,55.49881286751187,49.23702953218877,31,8,0,1,5,1,0.7115580415967778,0.7417164105197349,2020,1,1.6376072297789894,1.6376072297789894,1,1.6376072297789894,1.6376072297789894,12.653451354986462,County_122,South Carolina,SC,1147332,26.40131025282085,27.01384674387963,28.611725119732125,8.118645572067344,19.85069959752744,37.53330569269723,47.96481028852835,54.86389321929856,10.862103718253309,26.12191719693653,23.640170266238567,29.3340206585842,12.642380313167532,4.079385804853644,67272,60.020132604608406,18.72659690430168,1.3870108487121213,3.780373272734123,0.2286219063090528,7.822790780135732,8.801812469305197,4.049351433862519,45.02512923753399,7,1,220,12,18,4,3,0.8546352466291589
37161,2019-05-16,50.051883034163964,1,327.21469100042435,36.35718788893604,9,107.27331788065408,11.919257542294897,11.41711932550654,9,15,1,2,1,1,0.15045401155747407,0.7311359766527954,2019,0,0.09348239784041996,0.0,0,0.09348239784041996,0.0,5.463282890668897,County_149,North Carolina,NC,1088909,9.36802206302465,48.2539469562298,15.882090217201071,11.980555330696646,20.21786080783502,15.226441151059804,46.26001947463126,48.37482523907231,5.842957349033375,13.721052982699058,24.35225790383074,23.48456726602783,19.181357182928377,15.6223238602213,38001,78.78397083535546,10.904418205315483,0.07989293123525298,4.747244631604182,0.2094570734153148,7.220935898728,6.697239380618559,4.508153054073681,23.555952785840436,2,0,0,0,17,4,6,0.02176603765136573
21002,2020-06-02,25.072825178587554,0,100.31231394929756,11.145812661033062,9,662.4379286799136,73.60421429776818,86.76984292433235,9,15,4,1,3,0,0.047374020005481854,0.7829601300260849,2020,1,-1.0761810652123451,-1.0761810652123451,0,-0.0,-0.0,8.153336861713289,County_51,Kentucky,KY,1676908,8.818457105356512,35.61327258891816,25.15799833805921,21.28937278063892,17.933304012248634,42.778427981379544,46.68154882141938,49.946380943705435,12.877240318793804,23.709653616518153,34.347058136729075,30.992146795405887,15.64342344966594,7.099973715653276,70830,45.16623837775106,62.10001242442788,0.05658461127622916,3.248106420975005,0.08358181579003528,4.964288101776358,2.0375798328482855,2.3973136099141237,35.07708704290836,9,1,184,8,22,4,0,0.19657583060751493
21159,2020-05-11,15.975540139574107,1,41.630694486010995,5.947242069430142,7,852.5693496314975,121.79562137592822,144.8399201427229,7,9,2,0,2,0,0.13820537163853075,0.5699338186415264,2020,1,-1.5021683856562622,-1.5021683856562622,1,-1.5021683856562622,-1.5021683856562622,7.447077582046566,County_62,Kentucky,KY,2371106,27.38082531413394,43.410492825120656,26.489519667612186,21.839895051177017,11.48816212592565,40.18888768203441,45.99826347858784,53.03958761182248,4.900207688218508,38.90316557750372,20.94750135160806,24.025020673983363,15.963433909858127,18.882380875140626,44902,60.1154050463948,17.07422536920472,1.1173485929501121,1.1693977289317916,0.21268335570648536,6.9569085815986496,8.352966822555839,0.9158215256537766,31.90778165148003,3,1,190,9,16,4,0,0.8003997430934667
45157,2019-04-25,31.075922099919868,1,871.531509641999,31.12612534435711,28,1439.4871723957656,51.41025615699163,36.07764963104525,28,11,3,1,3,1,0.9188231935306829,0.10461509680477521,2019,0,-0.7950814667149013,-0.0,0,-0.7950814667149013,-0.0,13.234423629439314,County_125,South Carolina,SC,2519503,26.401239858702464,21.79160058438964,19.715180862809706,15.173272910653292,4.082503008266037,40.08684940838216,58.85752296886823,54.06106841834907,12.757369204525505,26.07238980892815,34.66234883175798,34.0243129644703,9.213076516103769,21.031139607701185,58861,40.231297474839636,36.725675397467036,0.5650688025734221,1.7844216180904788,0.2844443053544502,1.7544237893694175,4.225420150944789,5.293492893746801,50.141482507448515,9,0,0,0,22,6,6,0.3409179536807796
1156,2019-06-09,24.22755524505647,0,21.53666381416121,21.53666381416121,1,23.488278740821357,23.488278740821357,23.808364042822706,1,4,2,3,1,0,0.009259781821123414,0.90397329087804,2019,0,-1.1157614754657939,-0.0,0,-0.0,-0.0,33.61255964934489,County_13,Alabama,AL,789128,19.01248592286886,49.273560892614924,18.071720391940655,9.40207687453921,2.80820833108261,15.87878472516935,46.03680756716703,43.85404878261362,14.187741071498248,40.134054554069834,24.371361225882683,30.122831959388446,11.697196661783268,15.649494269569388,67197,84.6793732909066,71.35194593815652,1.1934527008638576,5.99531025785514,0.027467950311170674,7.406611381421506,0.6364301610538605,1.1616089268686134,57.97897546505791,5,0,0,0,18,6,4,0.15068299985961367
37133,2020-06-27,62.43610715290002,1,1198.5477208019522,41.329231751791454,29,1655.8247882603036,57.09740649173461,58.52418369518682,29,13,1,2,3,1,0.18832197481135182,0.8655725393210282,2020,1,0.6733831512512869,0.6733831512512869,1,0.6733831512512869,0.6733831512512869,62.90415362402897,County_64,North Carolina,NC,2648408,26.299196861643487,32.95374459379472,19.14643466627063,23.213389826354938,11.805412349017029,8.970903557352251,46.85558913331979,48.399584205194344,9.669624130773858,18.76506911712199,22.21176985526769,33.574901894036586,10.865297015984808,15.601340024289325,63405,82.1455303100838,1.8620039654650928,0.8692083513619306,0.3378498505460632,0.09784879260106981,2.9767176471471326,3.446180515593868,1.0561246666195554,23.69323886340473,9,1,207,5,23,5,1,0.18756800095569193
12094,2019-04-24,23.52827532399718,1,1175.4676750440044,48.97781979350019,24,548.7517556202579,22.864656484177413,16.978036415788516,24,11,0,1,1,4,0.03128351290164455,0.798097435818333,2019,0,-1.1485057918783073,-0.0,0,-1.1485057918783073,-0.0,11.050836279269403,County_143,Florida,FL,1711858,7.411658013036864,32.78485059320195,22.571103717393655,7.728445165156014,12.139133403925046,40.82951803982076,56.58156433827031,52.659718765261175,10.117964392684591,26.136357191118115,26.055265085373215,35.909789230056376,13.343091362527908,9.787603193848723,48802,87.44402778340307,40.51051242626638,1.8466251246205092,4.991148341241606,0.07040167963847824,3.0011957434410306,3.9713058184802676,2.5229502098274548,60.963333202303055,9,0,0,0,21,4,6,0.5312256455341334
1141,2019-06-10,50.44309521344431,1,759.1984596413297,33.00862868005781,23,2340.5723360191246,101.76401460952715,59.70584721003657,23,14,1,0,5,0,0.11062946756220327,0.09986247716072949,2019,0,0.11180120694247399,0.0,0,0.11180120694247399,0.0,15.901460364720375,County_195,Alabama,AL,197333,15.256519466407614,49.010080770555085,17.12982328470937,29.226751372223546,10.443566563327959,18.92620892080413,53.1233630344012,45.244829072884286,7.746571275064939,36.78592375427976,24.19035229998247,32.063168274604436,12.39564688229869,12.263750486710116,52595,85.79095774202538,37.37252203205115,0.5756180299227358,6.995791251950235,0.11797504032020001,1.7839792843816302,3.3795781197900805,0.5810267889462334,61.45608166286641,7,1,0,0,26,5,0,0.8463353478156428
