"variable","importance"
"dspns_qty_mean",0.459647786658233
"patient_coverage_mean",0.0768235919212829
"drug_ANDROGENS_ANABOLIC_sum",0.0696404271113235
"drug_ESTROGENS_sum",0.0496170570503611
"insurance_coverage_mean",0.0437605218690374
"republican_percentage_std",0.0435161662151817
"over_65_percentage",0.0420818045677496
"week",0.0273756272848201
"pharmacy_density",0.0257976878016765
"drug_CONTRACEPTIVES_sum",0.0251261757006499
"race_white",0.0233349838311451
"female_percentage",0.0210942011994643
"income_middle_percentage",0.0208399498570279
"edu_bachelors",0.0200053274053945
"unemployment_rate",0.0188642914037636
"evangelical_pct",0.0180554217803651
"is_brand",0.00469844096211831
"republicanStd_x_brand",0.00401764996395491
"drug_PROGESTINS_sum",0.00335939332252383
"loc_id_nunique",0.00234349409392614
