"variable","importance"
"dspns_qty_mean",0.364476320059268
"drug_ANDROGENS_ANABOLIC_sum",0.272353332269276
"insurance_coverage_mean",0.0611715395268733
"republican_percentage_std",0.0322431461044065
"drug_CONTRACEPTIVES_sum",0.0318302300703865
"patient_coverage_mean",0.0314901346163185
"over_65_percentage",0.0308821835056082
"edu_bachelors",0.024908003217987
"unemployment_rate",0.022390791870592
"race_white",0.0196675249450162
"evangelical_pct",0.0192938290993479
"pharmacy_density",0.0179120015494106
"female_percentage",0.016027107474641
"income_middle_percentage",0.0138582834223945
"drug_ESTROGENS_sum",0.0110139706574609
"drug_PROGESTINS_sum",0.00935824836217889
"is_brand",0.00767022316703154
"week",0.00755445894896744
"republicanStd_x_brand",0.00299626853096885
"loc_id_nunique",0.0029024026018662
