"variable","importance"
"drug_PROGESTINS_sum",0.368575282795715
"drug_CONTRACEPTIVES_sum",0.173743775077377
"drug_ANDROGENS_ANABOLIC_sum",0.149450051307628
"drug_ESTROGENS_sum",0.0536576737432548
"week",0.0427059638385587
"insurance_coverage_mean",0.0387073244044116
"patient_coverage_mean",0.0358458372656288
"loc_id_nunique",0.0343168205187836
"dspns_qty_mean",0.0249339099807143
"pharmacy_density",0.0148199679254526
"income_middle_percentage",0.0143356497541365
"edu_bachelors",0.0118869572736835
"female_percentage",0.00890433666797083
"republican_percentage_std",0.00778513733715499
"over_65_percentage",0.00646586947755559
"evangelical_pct",0.00504763057404626
"race_white",0.00483631569033833
"unemployment_rate",0.00366443844451587
"is_brand",0.00016712666926967
"republicanStd_x_brand",0.000149931253804291
