"subcategory","dv","ate","se","p_value","n_obs","n_clusters"
"ANDROGENS_ANABOLIC","log_sales",-0.113870493810463,0.0151835516454223,6.40151263785577e-14,7214,122
"ANDROGENS_ANABOLIC","log_avg_price",-0.064348633527041,0.0137301937754489,2.77711235382447e-06,7214,122
"ANDROGENS_ANABOLIC","log_transactions",-0.00782824434745954,0.00291551827695408,0.00725240175319902,7214,122
"ESTROGENS","log_sales",-0.0287140261742103,0.0107424294703322,0.00751864271001799,13697,122
"ESTROGENS","log_avg_price",0.00763475320883198,0.00994260862458849,0.442557112119713,13697,122
"ESTROGENS","log_transactions",-0.0036152460034142,0.00152502711532653,0.0177587122458462,13697,122
"PROGESTINS","log_sales",-0.0469266155710495,0.0204116424845474,0.0215042452232764,4561,122
"PROGESTINS","log_avg_price",-0.0388420811912214,0.0185719402054458,0.0364887237239234,4561,122
"PROGESTINS","log_transactions",-0.00165315971858346,0.00350523368942645,0.637193688813235,4561,122
"CONTRACEPTIVES","log_sales",-0.0554520289390393,0.0102538850342436,6.37664802797647e-08,16293,122
"CONTRACEPTIVES","log_avg_price",-0.0381254372831264,0.00990663628639689,0.000118855658815277,16293,122
"CONTRACEPTIVES","log_transactions",-0.000444453069788522,0.000802649640141425,0.579762033693467,16293,122
