"subcategory","dv","variable","estimate","std_error","t_value","p_value","n_obs","n_clusters"
"ANDROGENS_ANABOLIC","log_sales","(Intercept)",-0.114072953604895,0.015307921855554,-7.4518902488065,1.02728491149784e-13,7214,122
"ANDROGENS_ANABOLIC","log_sales","republican_percentage_std",0.00738004471348747,0.0201989518158809,0.365367707233457,0.714847659472996,7214,122
"ANDROGENS_ANABOLIC","log_sales","republicanStd_x_brand",0.0346195112918419,0.0785332234211985,0.440826312529749,0.659351958046861,7214,122
"ANDROGENS_ANABOLIC","log_avg_price","(Intercept)",-0.0640813613951766,0.0138924188051219,-4.61268568807836,4.04359794092862e-06,7214,122
"ANDROGENS_ANABOLIC","log_avg_price","republican_percentage_std",0.00122067341988647,0.0192531331535315,0.0634012869569006,0.949448719765722,7214,122
"ANDROGENS_ANABOLIC","log_avg_price","republicanStd_x_brand",0.0517032248575953,0.0941259537028227,0.549298284093187,0.582817773945767,7214,122
"ANDROGENS_ANABOLIC","log_transactions","(Intercept)",-0.00807991455676398,0.00316191345148683,-2.55538764129187,0.0106272989943425,7214,122
"ANDROGENS_ANABOLIC","log_transactions","republican_percentage_std",0.00310664185970729,0.00361126011658768,0.860265325512689,0.389671402061456,7214,122
"ANDROGENS_ANABOLIC","log_transactions","republicanStd_x_brand",-0.0108712242227418,0.00965034677213177,-1.12651125181695,0.259986667435893,7214,122
"ESTROGENS","log_sales","(Intercept)",-0.0295612236413311,0.0107375572945175,-2.75306783754484,0.00591174492902827,13697,122
"ESTROGENS","log_sales","republican_percentage_std",0.029462202897143,0.0145281903203404,2.02793343475781,0.0425863633878463,13697,122
"ESTROGENS","log_sales","republicanStd_x_brand",-0.0381212419087896,0.0224069225575523,-1.70131537746315,0.0889064834752288,13697,122
"ESTROGENS","log_avg_price","(Intercept)",0.00700676713277694,0.0100001516136533,0.700666090223128,0.483523327274415,13697,122
"ESTROGENS","log_avg_price","republican_percentage_std",0.0222675833162251,0.0140044097625366,1.59004082955309,0.111848686078426,13697,122
"ESTROGENS","log_avg_price","republicanStd_x_brand",-0.026799366361727,0.0185725516208076,-1.44295554584447,0.149055867079074,13697,122
"ESTROGENS","log_transactions","(Intercept)",-0.00368210067270714,0.00160246021636698,-2.2977797733132,0.0215893288032061,13697,122
"ESTROGENS","log_transactions","republican_percentage_std",0.00206180563717584,0.0021819362549526,0.944943113024458,0.3447045912656,13697,122
"ESTROGENS","log_transactions","republicanStd_x_brand",-0.00390322141615243,0.00275428936500076,-1.41714282665843,0.15646392346107,13697,122
"PROGESTINS","log_sales","(Intercept)",-0.0456693069062379,0.0200068152550171,-2.28268749044331,0.0224946232297998,4561,122
"PROGESTINS","log_sales","republican_percentage_std",0.0700774410542639,0.0227053227575254,3.08638823603763,0.0020382010004934,4561,122
"PROGESTINS","log_avg_price","(Intercept)",-0.0376902696809924,0.0184026743917762,-2.04808653778254,0.0406086836285208,4561,122
"PROGESTINS","log_avg_price","republican_percentage_std",0.0641974444881455,0.0219871995738421,2.91976448717555,0.00352012259388068,4561,122
"PROGESTINS","log_transactions","(Intercept)",-0.00158826272202471,0.00353357721033992,-0.44947729382484,0.653108751503813,4561,122
"PROGESTINS","log_transactions","republican_percentage_std",0.00361710340366062,0.00292242224672898,1.23770731888904,0.215888342706299,4561,122
"CONTRACEPTIVES","log_sales","(Intercept)",-0.0553716371115787,0.0103103247828135,-5.37050367257866,7.95940843078049e-08,16293,122
"CONTRACEPTIVES","log_sales","republican_percentage_std",0.0170745363744198,0.0125784037989544,1.35744857990956,0.174657526184352,16293,122
"CONTRACEPTIVES","log_sales","republicanStd_x_brand",-0.0264513509700604,0.0172638464639287,-1.53218177799068,0.125497002770608,16293,122
"CONTRACEPTIVES","log_avg_price","(Intercept)",-0.0378918814196058,0.00998557243766859,-3.79466291553464,0.000148379198088177,16293,122
"CONTRACEPTIVES","log_avg_price","republican_percentage_std",0.0150433166644697,0.0118987341190708,1.26427874712815,0.206148083931656,16293,122
"CONTRACEPTIVES","log_avg_price","republicanStd_x_brand",-0.0129224557194055,0.0159030189810766,-0.812578777324118,0.416471478141018,16293,122
"CONTRACEPTIVES","log_transactions","(Intercept)",-0.000435945545305319,0.000811260964917768,-0.537367831261927,0.591020899325996,16293,122
"CONTRACEPTIVES","log_transactions","republican_percentage_std",0.00122049781634241,0.000891602054528622,1.36888178996814,0.171055103619105,16293,122
"CONTRACEPTIVES","log_transactions","republicanStd_x_brand",-0.00171459884504295,0.00117355013505278,-1.46103587211963,0.144024884540534,16293,122
